original_index	participant	content	token	lemma	tagged_token	tagged_lemma	original_file	file
59	MOT	yes it did  	['yes', 'it', 'did']	['yes', 'it', 'do']	[('yes', 'NNS'), ('it', 'PRP'), ('did', 'VBD')]	[('yes', 'NNS'), ('it', 'PRP'), ('do', 'VBP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
57	CHI	yeah and we said wave  	['yeah', 'and', 'we', 'said', 'wave']	['yeah', 'and', 'we', 'say', 'wave']	[('yeah', 'NN'), ('and', 'CC'), ('we', 'PRP'), ('said', 'VBD'), ('wave', 'NN')]	[('yeah', 'NN'), ('and', 'CC'), ('we', 'PRP'), ('say', 'VBP'), ('wave', 'VBP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
61	MOT	no the last one had downward posture it didn't have upward posture  	['no', 'the', 'last', 'one', 'had', 'downward', 'posture', 'it', 'did', 'not', 'have', 'upward', 'posture']	['no', 'the', 'last', 'one', 'have', 'downward', 'posture', 'it', 'do', 'not', 'have', 'upward', 'posture']	[('no', 'DT'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('had', 'VBD'), ('downward', 'JJ'), ('posture', 'NN'), ('it', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('have', 'VB'), ('upward', 'JJ'), ('posture', 'NN')]	[('no', 'DT'), ('the', 'DT'), ('last', 'JJ'), ('one', 'CD'), ('have', 'VBP'), ('downward', 'VBN'), ('posture', 'NN'), ('it', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('upward', 'JJ'), ('posture', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
59	CHI	what do you think  	['what', 'do', 'you', 'think']	['what', 'do', 'you', 'think']	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB')]	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('think', 'VB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
63	MOT	sure try it  	['sure', 'try', 'it']	['sure', 'try', 'it']	[('sure', 'JJ'), ('try', 'VB'), ('it', 'PRP')]	[('sure', 'JJ'), ('try', 'VB'), ('it', 'PRP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
61	CHI	we'll wave  	['we', 'will', 'wave']	['we', 'will', 'wave']	[('we', 'PRP'), ('will', 'MD'), ('wave', 'VB')]	[('we', 'PRP'), ('will', 'MD'), ('wave', 'VB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
65	MOT	clear downward posture red eyes that are small go   big eyes  	['clear', 'downward', 'posture', 'red', 'eyes', 'that', 'are', 'small', 'go', 'big', 'eyes']	['clear', 'downward', 'posture', 'red', 'eye', 'that', 'be', 'small', 'go', 'big', 'eye']	[('clear', 'JJ'), ('downward', 'JJ'), ('posture', 'NN'), ('red', 'JJ'), ('eyes', 'NNS'), ('that', 'WDT'), ('are', 'VBP'), ('small', 'JJ'), ('go', 'VBP'), ('big', 'JJ'), ('eyes', 'NNS')]	[('clear', 'JJ'), ('downward', 'JJ'), ('posture', 'NN'), ('red', 'VBD'), ('eye', 'NN'), ('that', 'IN'), ('be', 'VB'), ('small', 'JJ'), ('go', 'VB'), ('big', 'JJ'), ('eye', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
63	CHI	okay ready  	['okay', 'ready']	['okay', 'ready']	[('okay', 'NNS'), ('ready', 'JJ')]	[('okay', 'NNS'), ('ready', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
67	MOT	go for it  	['go', 'for', 'it']	['go', 'for', 'it']	[('go', 'VB'), ('for', 'IN'), ('it', 'PRP')]	[('go', 'VB'), ('for', 'IN'), ('it', 'PRP')]	Dyad2-time1-condTD.txt	time1-time1-condTD
65	CHI	okay which one  	['okay', 'which', 'one']	['okay', 'which', 'one']	[('okay', 'NN'), ('which', 'WDT'), ('one', 'NN')]	[('okay', 'NN'), ('which', 'WDT'), ('one', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
69	MOT	no  no spots  	['no', 'no', 'spots']	['no', 'no', 'spot']	[('no', 'DT'), ('no', 'DT'), ('spots', 'NNS')]	[('no', 'DT'), ('no', 'DT'), ('spot', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
67	CHI	i told you  	['i', 'told', 'you']	['i', 'tell', 'you']	[('i', 'NN'), ('told', 'VBD'), ('you', 'PRP')]	[('i', 'NN'), ('tell', 'VBP'), ('you', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
71	MOT	is friendly but if they didn't have spots they didn't have a gem  	['is', 'friendly', 'but', 'if', 'they', 'did', 'not', 'have', 'spots', 'they', 'did', 'not', 'have', 'a', 'gem']	['be', 'friendly', 'but', 'if', 'they', 'do', 'not', 'have', 'spot', 'they', 'do', 'not', 'have', 'a', 'gem']	[('is', 'VBZ'), ('friendly', 'RB'), ('but', 'CC'), ('if', 'IN'), ('they', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('have', 'VB'), ('spots', 'NNS'), ('they', 'PRP'), ('did', 'VBD'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN')]	[('be', 'VB'), ('friendly', 'RB'), ('but', 'CC'), ('if', 'IN'), ('they', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('spot', 'NN'), ('they', 'PRP'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('a', 'DT'), ('gem', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
69	CHI	do you think this is a friendly alien or not  	['do', 'you', 'think', 'this', 'is', 'a', 'friendly', 'alien', 'or', 'not']	['do', 'you', 'think', 'this', 'be', 'a', 'friendly', 'alien', 'or', 'not']	[('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('this', 'DT'), ('is', 'VBZ'), ('a', 'DT'), ('friendly', 'JJ'), ('alien', 'NN'), ('or', 'CC'), ('not', 'RB')]	[('do', 'VBP'), ('you', 'PRP'), ('think', 'VB'), ('this', 'DT'), ('be', 'VB'), ('a', 'DT'), ('friendly', 'JJ'), ('alien', 'NN'), ('or', 'CC'), ('not', 'RB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
73	MOT	so eyes  	['so', 'eyes']	['so', 'eye']	[('so', 'RB'), ('eyes', 'NNS')]	[('so', 'RB'), ('eye', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
71	CHI	ask it for a gem  	['ask', 'it', 'for', 'a', 'gem']	['ask', 'it', 'for', 'a', 'gem']	[('ask', 'VB'), ('it', 'PRP'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	[('ask', 'VB'), ('it', 'PRP'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
75	MOT	okay keep an eye on that  	['okay', 'keep', 'an', 'eye', 'on', 'that']	['okay', 'keep', 'an', 'eye', 'on', 'that']	[('okay', 'RB'), ('keep', 'VB'), ('an', 'DT'), ('eye', 'NN'), ('on', 'IN'), ('that', 'DT')]	[('okay', 'RB'), ('keep', 'VB'), ('an', 'DT'), ('eye', 'NN'), ('on', 'IN'), ('that', 'DT')]	Dyad2-time1-condTD.txt	time1-time1-condTD
73	CHI	the aliens are being difficult   there's forty of them   does this look friendly to you  	['the', 'aliens', 'are', 'being', 'difficult', 'there', 'is', 'forty', 'of', 'them', 'does', 'this', 'look', 'friendly', 'to', 'you']	['the', 'alien', 'be', 'be', 'difficult', 'there', 'be', 'forty', 'of', 'them', 'do', 'this', 'look', 'friendly', 'to', 'you']	[('the', 'DT'), ('aliens', 'NNS'), ('are', 'VBP'), ('being', 'VBG'), ('difficult', 'JJ'), ('there', 'EX'), ('is', 'VBZ'), ('forty', 'NN'), ('of', 'IN'), ('them', 'PRP'), ('does', 'VBZ'), ('this', 'DT'), ('look', 'NN'), ('friendly', 'RB'), ('to', 'TO'), ('you', 'PRP')]	[('the', 'DT'), ('alien', 'NN'), ('be', 'VB'), ('be', 'VB'), ('difficult', 'JJ'), ('there', 'RB'), ('be', 'VB'), ('forty', 'NN'), ('of', 'IN'), ('them', 'PRP'), ('do', 'VBP'), ('this', 'DT'), ('look', 'NN'), ('friendly', 'RB'), ('to', 'TO'), ('you', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
77	MOT	the tongue  	['the', 'tongue']	['the', 'tongue']	[('the', 'DT'), ('tongue', 'NN')]	[('the', 'DT'), ('tongue', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
75	CHI	let's just say it's friendly and let's ask it for a gem  	['let', 'us', 'just', 'say', 'it', 'is', 'friendly', 'and', 'let', 'us', 'ask', 'it', 'for', 'a', 'gem']	['let', 'u', 'just', 'say', 'it', 'be', 'friendly', 'and', 'let', 'u', 'ask', 'it', 'for', 'a', 'gem']	[('let', 'VB'), ('us', 'PRP'), ('just', 'RB'), ('say', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('friendly', 'JJ'), ('and', 'CC'), ('let', 'VB'), ('us', 'PRP'), ('ask', 'VB'), ('it', 'PRP'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	[('let', 'VB'), ('u', 'JJ'), ('just', 'RB'), ('say', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('friendly', 'JJ'), ('and', 'CC'), ('let', 'VB'), ('u', 'JJ'), ('ask', 'VB'), ('it', 'PRP'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
79	MOT	goahead give it a whirl so they're friendly goahead  goahead let's see the next one  	['goahead', 'give', 'it', 'a', 'whirl', 'so', 'they', 'are', 'friendly', 'goahead', 'goahead', 'let', 'us', 'see', 'the', 'next', 'one']	['goahead', 'give', 'it', 'a', 'whirl', 'so', 'they', 'be', 'friendly', 'goahead', 'goahead', 'let', 'u', 'see', 'the', 'next', 'one']	[('goahead', 'UH'), ('give', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('whirl', 'NN'), ('so', 'IN'), ('they', 'PRP'), ('are', 'VBP'), ('friendly', 'JJ'), ('goahead', 'UH'), ('goahead', 'UH'), ('let', 'VBD'), ('us', 'PRP'), ('see', 'VB'), ('the', 'DT'), ('next', 'JJ'), ('one', 'NN')]	[('goahead', 'UH'), ('give', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('whirl', 'NN'), ('so', 'IN'), ('they', 'PRP'), ('be', 'VB'), ('friendly', 'JJ'), ('goahead', 'UH'), ('goahead', 'UH'), ('let', 'NN'), ('u', 'JJ'), ('see', 'VB'), ('the', 'DT'), ('next', 'JJ'), ('one', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
77	CHI	i didn't  	['i', 'did', 'not']	['i', 'do', 'not']	[('i', 'NN'), ('did', 'VBD'), ('not', 'RB')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
81	MOT	that one you steal from  	['that', 'one', 'you', 'steal', 'from']	['that', 'one', 'you', 'steal', 'from']	[('that', 'DT'), ('one', 'CD'), ('you', 'PRP'), ('steal', 'VBP'), ('from', 'IN')]	[('that', 'DT'), ('one', 'CD'), ('you', 'PRP'), ('steal', 'VBP'), ('from', 'IN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
79	CHI	 it looks  	['it', 'looks']	['it', 'look']	[('it', 'PRP'), ('looks', 'VBZ')]	[('it', 'PRP'), ('look', 'VB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
83	MOT	that doesn't make any sense  	['that', 'does', 'not', 'make', 'any', 'sense']	['that', 'do', 'not', 'make', 'any', 'sense']	[('that', 'DT'), ('does', 'VBZ'), ('not', 'RB'), ('make', 'VB'), ('any', 'DT'), ('sense', 'NN')]	[('that', 'DT'), ('do', 'VBP'), ('not', 'RB'), ('make', 'VB'), ('any', 'DT'), ('sense', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
81	CHI	wait but its feet are out of the ground  	['wait', 'but', 'its', 'feet', 'are', 'out', 'of', 'the', 'ground']	['wait', 'but', 'it', 'foot', 'be', 'out', 'of', 'the', 'ground']	[('wait', 'NN'), ('but', 'CC'), ('its', 'PRP$'), ('feet', 'NNS'), ('are', 'VBP'), ('out', 'IN'), ('of', 'IN'), ('the', 'DT'), ('ground', 'NN')]	[('wait', 'NN'), ('but', 'CC'), ('it', 'PRP'), ('foot', 'RB'), ('be', 'VB'), ('out', 'IN'), ('of', 'IN'), ('the', 'DT'), ('ground', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
85	MOT	no 'cause we had blue aliens that were friendly  	['no', 'because', 'we', 'had', 'blue', 'aliens', 'that', 'were', 'friendly']	['no', 'because', 'we', 'have', 'blue', 'alien', 'that', 'be', 'friendly']	[('no', 'DT'), ('because', 'IN'), ('we', 'PRP'), ('had', 'VBD'), ('blue', 'JJ'), ('aliens', 'NNS'), ('that', 'WDT'), ('were', 'VBD'), ('friendly', 'RB')]	[('no', 'DT'), ('because', 'IN'), ('we', 'PRP'), ('have', 'VBP'), ('blue', 'JJ'), ('alien', 'NN'), ('that', 'WDT'), ('be', 'VB'), ('friendly', 'RB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
83	CHI	yeah there wasn't feet on the other ones  	['yeah', 'there', 'was', 'not', 'feet', 'on', 'the', 'other', 'ones']	['yeah', 'there', 'be', 'not', 'foot', 'on', 'the', 'other', 'one']	[('yeah', 'NN'), ('there', 'EX'), ('was', 'VBD'), ('not', 'RB'), ('feet', 'NNS'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('ones', 'NNS')]	[('yeah', 'NN'), ('there', 'RB'), ('be', 'VB'), ('not', 'RB'), ('foot', 'VBN'), ('on', 'IN'), ('the', 'DT'), ('other', 'JJ'), ('one', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
87	MOT	spots big eyes upward  	['spots', 'big', 'eyes', 'upward']	['spot', 'big', 'eye', 'upward']	[('spots', 'NNS'), ('big', 'JJ'), ('eyes', 'NNS'), ('upward', 'RB')]	[('spot', 'NN'), ('big', 'JJ'), ('eye', 'NN'), ('upward', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
85	CHI	  i don't know   okay let's steal gems from it  	['i', 'do', 'not', 'know', 'okay', 'let', 'us', 'steal', 'gems', 'from', 'it']	['i', 'do', 'not', 'know', 'okay', 'let', 'u', 'steal', 'gem', 'from', 'it']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('okay', 'JJ'), ('let', 'VB'), ('us', 'PRP'), ('steal', 'VB'), ('gems', 'NNS'), ('from', 'IN'), ('it', 'PRP')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('know', 'VB'), ('okay', 'JJ'), ('let', 'VB'), ('u', 'JJ'), ('steal', 'VB'), ('gem', 'NN'), ('from', 'IN'), ('it', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
89	MOT	sure i feel like we need to write all this crap down   no they're friendly  	['sure', 'i', 'feel', 'like', 'we', 'need', 'to', 'write', 'all', 'this', 'crap', 'down', 'no', 'they', 'are', 'friendly']	['sure', 'i', 'feel', 'like', 'we', 'need', 'to', 'write', 'all', 'this', 'crap', 'down', 'no', 'they', 'be', 'friendly']	[('sure', 'JJ'), ('i', 'JJ'), ('feel', 'VBP'), ('like', 'IN'), ('we', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('write', 'VB'), ('all', 'PDT'), ('this', 'DT'), ('crap', 'NN'), ('down', 'RP'), ('no', 'DT'), ('they', 'PRP'), ('are', 'VBP'), ('friendly', 'JJ')]	[('sure', 'JJ'), ('i', 'JJ'), ('feel', 'VBP'), ('like', 'IN'), ('we', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('write', 'VB'), ('all', 'PDT'), ('this', 'DT'), ('crap', 'NN'), ('down', 'RP'), ('no', 'DT'), ('they', 'PRP'), ('be', 'VB'), ('friendly', 'JJ')]	Dyad2-time1-condTD.txt	time1-time1-condTD
87	CHI	i  i didn't press it though  	['i', 'i', 'did', 'not', 'press', 'it', 'though']	['i', 'i', 'do', 'not', 'press', 'it', 'though']	[('i', 'NN'), ('i', 'VBP'), ('did', 'VBD'), ('not', 'RB'), ('press', 'VB'), ('it', 'PRP'), ('though', 'IN')]	[('i', 'NN'), ('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('press', 'VB'), ('it', 'PRP'), ('though', 'IN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
91	MOT	it's gotta be eyes   'cause that's not gonna be a friendly one that's one you try and steal from  	['it', 'is', 'got', 'ta', 'be', 'eyes', 'because', 'that', 'is', 'not', 'gon', 'na', 'be', 'a', 'friendly', 'one', 'that', 'is', 'one', 'you', 'try', 'and', 'steal', 'from']	['it', 'be', 'get', 'ta', 'be', 'eye', 'because', 'that', 'be', 'not', 'gon', 'na', 'be', 'a', 'friendly', 'one', 'that', 'be', 'one', 'you', 'try', 'and', 'steal', 'from']	[('it', 'PRP'), ('is', 'VBZ'), ('got', 'VBD'), ('ta', 'RB'), ('be', 'VB'), ('eyes', 'NNS'), ('because', 'IN'), ('that', 'DT'), ('is', 'VBZ'), ('not', 'RB'), ('gon', 'VBN'), ('na', 'RB'), ('be', 'VB'), ('a', 'DT'), ('friendly', 'JJ'), ('one', 'NN'), ('that', 'WDT'), ('is', 'VBZ'), ('one', 'CD'), ('you', 'PRP'), ('try', 'VBP'), ('and', 'CC'), ('steal', 'VBP'), ('from', 'IN')]	[('it', 'PRP'), ('be', 'VB'), ('get', 'VBN'), ('ta', 'JJ'), ('be', 'VB'), ('eye', 'NN'), ('because', 'IN'), ('that', 'DT'), ('be', 'VB'), ('not', 'RB'), ('gon', 'VB'), ('na', 'TO'), ('be', 'VB'), ('a', 'DT'), ('friendly', 'JJ'), ('one', 'CD'), ('that', 'WDT'), ('be', 'VB'), ('one', 'CD'), ('you', 'PRP'), ('try', 'VBP'), ('and', 'CC'), ('steal', 'VBP'), ('from', 'IN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
89	CHI	i didn't press anything   see this one doesn't have legs  	['i', 'did', 'not', 'press', 'anything', 'see', 'this', 'one', 'does', 'not', 'have', 'legs']	['i', 'do', 'not', 'press', 'anything', 'see', 'this', 'one', 'do', 'not', 'have', 'leg']	[('i', 'NN'), ('did', 'VBD'), ('not', 'RB'), ('press', 'VB'), ('anything', 'NN'), ('see', 'VB'), ('this', 'DT'), ('one', 'CD'), ('does', 'VBZ'), ('not', 'RB'), ('have', 'VB'), ('legs', 'NNS')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('press', 'VB'), ('anything', 'NN'), ('see', 'VB'), ('this', 'DT'), ('one', 'CD'), ('do', 'VBP'), ('not', 'RB'), ('have', 'VB'), ('leg', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
93	MOT	but again i think     it's not  spots is not consistent   why are they friendly   go we're halfway through man we're blowing this  	['but', 'again', 'i', 'think', 'it', 'is', 'not', 'spots', 'is', 'not', 'consistent', 'why', 'are', 'they', 'friendly', 'go', 'we', 'are', 'halfway', 'through', 'man', 'we', 'are', 'blowing', 'this']	['but', 'again', 'i', 'think', 'it', 'be', 'not', 'spot', 'be', 'not', 'consistent', 'why', 'be', 'they', 'friendly', 'go', 'we', 'be', 'halfway', 'through', 'man', 'we', 'be', 'blow', 'this']	[('but', 'CC'), ('again', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('it', 'PRP'), ('is', 'VBZ'), ('not', 'RB'), ('spots', 'NNS'), ('is', 'VBZ'), ('not', 'RB'), ('consistent', 'JJ'), ('why', 'WRB'), ('are', 'VBP'), ('they', 'PRP'), ('friendly', 'RB'), ('go', 'VBP'), ('we', 'PRP'), ('are', 'VBP'), ('halfway', 'RB'), ('through', 'IN'), ('man', 'NN'), ('we', 'PRP'), ('are', 'VBP'), ('blowing', 'VBG'), ('this', 'DT')]	[('but', 'CC'), ('again', 'RB'), ('i', 'JJ'), ('think', 'VBP'), ('it', 'PRP'), ('be', 'VB'), ('not', 'RB'), ('spot', 'RB'), ('be', 'VB'), ('not', 'RB'), ('consistent', 'JJ'), ('why', 'WRB'), ('be', 'VB'), ('they', 'PRP'), ('friendly', 'RB'), ('go', 'VBP'), ('we', 'PRP'), ('be', 'VB'), ('halfway', 'VBN'), ('through', 'IN'), ('man', 'NN'), ('we', 'PRP'), ('be', 'VB'), ('blow', 'IN'), ('this', 'DT')]	Dyad2-time1-condTD.txt	time1-time1-condTD
91	CHI	 do we try run away  	['do', 'we', 'try', 'run', 'away']	['do', 'we', 'try', 'run', 'away']	[('do', 'VBP'), ('we', 'PRP'), ('try', 'VB'), ('run', 'VB'), ('away', 'RP')]	[('do', 'VBP'), ('we', 'PRP'), ('try', 'VB'), ('run', 'VB'), ('away', 'RP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
95	MOT	spots so it has gems  	['spots', 'so', 'it', 'has', 'gems']	['spot', 'so', 'it', 'have', 'gem']	[('spots', 'NNS'), ('so', 'IN'), ('it', 'PRP'), ('has', 'VBZ'), ('gems', 'NNS')]	[('spot', 'NN'), ('so', 'IN'), ('it', 'PRP'), ('have', 'VBP'), ('gem', 'VBN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
93	CHI	okay that doesn't matter then  	['okay', 'that', 'does', 'not', 'matter', 'then']	['okay', 'that', 'do', 'not', 'matter', 'then']	[('okay', 'NN'), ('that', 'WDT'), ('does', 'VBZ'), ('not', 'RB'), ('matter', 'VB'), ('then', 'RB')]	[('okay', 'NN'), ('that', 'WDT'), ('do', 'VBP'), ('not', 'RB'), ('matter', 'VB'), ('then', 'RB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
97	MOT	give it a whirl  	['give', 'it', 'a', 'whirl']	['give', 'it', 'a', 'whirl']	[('give', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('whirl', 'NN')]	[('give', 'VB'), ('it', 'PRP'), ('a', 'DT'), ('whirl', 'NN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
95	CHI	do you    let's just say it's friendly  	['do', 'you', 'let', 'us', 'just', 'say', 'it', 'is', 'friendly']	['do', 'you', 'let', 'u', 'just', 'say', 'it', 'be', 'friendly']	[('do', 'VB'), ('you', 'PRP'), ('let', 'VB'), ('us', 'PRP'), ('just', 'RB'), ('say', 'VB'), ('it', 'PRP'), ('is', 'VBZ'), ('friendly', 'JJ')]	[('do', 'VB'), ('you', 'PRP'), ('let', 'VB'), ('u', 'JJ'), ('just', 'RB'), ('say', 'VB'), ('it', 'PRP'), ('be', 'VB'), ('friendly', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
99	MOT	i don't think there are any that you steal from  	['i', 'do', 'not', 'think', 'there', 'are', 'any', 'that', 'you', 'steal', 'from']	['i', 'do', 'not', 'think', 'there', 'be', 'any', 'that', 'you', 'steal', 'from']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('there', 'EX'), ('are', 'VBP'), ('any', 'DT'), ('that', 'IN'), ('you', 'PRP'), ('steal', 'VBP'), ('from', 'IN')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('there', 'RB'), ('be', 'VB'), ('any', 'DT'), ('that', 'IN'), ('you', 'PRP'), ('steal', 'VBP'), ('from', 'IN')]	Dyad2-time1-condTD.txt	time1-time1-condTD
97	CHI	 ask it for a gem  	['ask', 'it', 'for', 'a', 'gem']	['ask', 'it', 'for', 'a', 'gem']	[('ask', 'VB'), ('it', 'PRP'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	[('ask', 'VB'), ('it', 'PRP'), ('for', 'IN'), ('a', 'DT'), ('gem', 'NN')]	Dyad1-time1-condTD.txt	time1-time1-condTD
101	MOT	i don't think you steal  	['i', 'do', 'not', 'think', 'you', 'steal']	['i', 'do', 'not', 'think', 'you', 'steal']	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('you', 'PRP'), ('steal', 'VB')]	[('i', 'NNS'), ('do', 'VBP'), ('not', 'RB'), ('think', 'VB'), ('you', 'PRP'), ('steal', 'VB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
99	CHI	i say friendly  	['i', 'say', 'friendly']	['i', 'say', 'friendly']	[('i', 'NNS'), ('say', 'VBP'), ('friendly', 'RB')]	[('i', 'NNS'), ('say', 'VBP'), ('friendly', 'RB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
103	MOT	spots this is the same friendly one  	['spots', 'this', 'is', 'the', 'same', 'friendly', 'one']	['spot', 'this', 'be', 'the', 'same', 'friendly', 'one']	[('spots', 'NNS'), ('this', 'DT'), ('is', 'VBZ'), ('the', 'DT'), ('same', 'JJ'), ('friendly', 'JJ'), ('one', 'CD')]	[('spot', 'NN'), ('this', 'DT'), ('be', 'VB'), ('the', 'DT'), ('same', 'JJ'), ('friendly', 'JJ'), ('one', 'CD')]	Dyad2-time1-condTD.txt	time1-time1-condTD
101	CHI	wave at it  	['wave', 'at', 'it']	['wave', 'at', 'it']	[('wave', 'NN'), ('at', 'IN'), ('it', 'PRP')]	[('wave', 'NN'), ('at', 'IN'), ('it', 'PRP')]	Dyad1-time1-condTD.txt	time1-time1-condTD
105	MOT	can we    yeah goahead   gotta wave at him   okay go  	['can', 'we', 'yeah', 'goahead', 'got', 'ta', 'wave', 'at', 'him', 'okay', 'go']	['can', 'we', 'yeah', 'goahead', 'get', 'ta', 'wave', 'at', 'him', 'okay', 'go']	[('can', 'MD'), ('we', 'PRP'), ('yeah', 'VB'), ('goahead', 'UH'), ('got', 'VBD'), ('ta', 'JJ'), ('wave', 'NN'), ('at', 'IN'), ('him', 'PRP'), ('okay', 'VBP'), ('go', 'VB')]	[('can', 'MD'), ('we', 'PRP'), ('yeah', 'VB'), ('goahead', 'UH'), ('get', 'VB'), ('ta', 'JJ'), ('wave', 'NN'), ('at', 'IN'), ('him', 'PRP'), ('okay', 'VBP'), ('go', 'VB')]	Dyad2-time1-condTD.txt	time1-time1-condTD
103	CHI	we waved at it yay  	['we', 'waved', 'at', 'it', 'yay']	['we', 'wave', 'at', 'it', 'yay']	[('we', 'PRP'), ('waved', 'VBD'), ('at', 'IN'), ('it', 'PRP'), ('yay', 'VB')]	[('we', 'PRP'), ('wave', 'VBP'), ('at', 'IN'), ('it', 'PRP'), ('yay', 'VB')]	Dyad1-time1-condTD.txt	time1-time1-condTD
107	MOT	goahead i'm not convinced but  	['goahead', 'i', 'am', 'not', 'convinced', 'but']	['goahead', 'i', 'be', 'not', 'convince', 'but']	[('goahead', 'UH'), ('i', 'NN'), ('am', 'VBP'), ('not', 'RB'), ('convinced', 'VBN'), ('but', 'CC')]	[('goahead', 'UH'), ('i', 'NN'), ('be', 'VB'), ('not', 'RB'), ('convince', 'NN'), ('but', 'CC')]	Dyad2-time1-condTD.txt	time1-time1-condTD
105	CHI	what do you say bad or good  	['what', 'do', 'you', 'say', 'bad', 'or', 'good']	['what', 'do', 'you', 'say', 'bad', 'or', 'good']	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('say', 'VB'), ('bad', 'JJ'), ('or', 'CC'), ('good', 'JJ')]	[('what', 'WP'), ('do', 'VBP'), ('you', 'PRP'), ('say', 'VB'), ('bad', 'JJ'), ('or', 'CC'), ('good', 'JJ')]	Dyad1-time1-condTD.txt	time1-time1-condTD
